categorie_bis,companies,noms,titre_com,commentaire,reponses,notes,date_experience,date_commentaire,site,nombre_pages,date_scrap,verified,année_experience,mois_experience,jour_experience,année_commentaire,mois_commentaire,jour_commentaire,leadtime_com_exp,nombre_caractères,nombre_maj,nombre_car_spé,caractères_spé,emojis_positifs_count,emojis_negatifs_count,commentaire_text,langue_bis
bank,Sumeria ,Mohamed Lamine,Great work i wish you all the best," January 06, 2022",,0.0,,2022-09-15,https://www.trustpilot.com/review/sumeria.eu?page=27,51,10-09-2024,1,0,0,0,2022,9,15,,17,1,1,,0,0,"january 06, 2022",id
bank,Sumeria ,clément,Super pratique," November 04, 2022",,0.0,,2022-11-04,https://www.trustpilot.com/review/sumeria.eu?page=24,51,10-09-2024,1,0,0,0,2022,11,4,,18,1,1,,0,0,"november 04, 2022",no
bank,Qonto ,Btrain,Très simple," February 24, 2024","Bonjour Btrain, nous vous remercions pour votre soutien précieux ! 🤩",0.0,,2024-02-24,https://www.trustpilot.com/review/qonto.com?page=10,30,10-09-2024,0,0,0,0,2024,2,24,,18,1,1,,0,0,"february 24, 2024",en
bank,Younited Credit ,Adrien,Simple rapide et efficace," March 20, 2018","Bonjour ADRIEN,Nous sommes ravis de lire que vous êtes pleinement satisfait de votre expérience Younited et sommes heureux de vous compter parmi nos clients.Excellente journée,l'équipe Younited Credit",0.0,,2018-03-20,https://www.trustpilot.com/review/www.younited-credit.com?page=29,38,10-09-2024,0,0,0,0,2018,3,20,,15,1,1,,0,0,"march 20, 2018",cy
bank,Sumeria ,Henryk Paszt,Top level application congratulations…,Top level application congratulations 🎉👍,,0.0,,2022-06-30,https://www.trustpilot.com/review/sumeria.eu?page=37,51,10-09-2024,1,0,0,0,2022,6,30,,40,1,2,🎉👍,1,0,top level application congratulations,en
bank,Sumeria ,Sylvain Soussan,Rapid,"Rapid, kind, effective",Thanks for your nice message Sylvain!,0.0,,2019-11-08,https://www.trustpilot.com/review/sumeria.eu?page=50,51,10-09-2024,0,0,0,0,2019,11,8,,22,1,2,,0,0,"rapid, kind, effective",en
bank,Pixpay ,Eloise,super genial formidable," August 19, 2021","Merci, super, formidable !A bientôt Eloise,Rebecca",0.0,,2021-08-19,https://www.trustpilot.com/review/pixpay.eu?page=11,13,10-09-2024,0,0,0,0,2021,8,19,,16,1,1,,0,0,"august 19, 2021",et
bank,Qonto ,Darioush,"Simple, Pratique.... gain de temps assuré"," April 01, 2021","Merci beaucoup Darioush, pour votre retour précieux et votre soutien ! 💜",0.0,,2021-04-01,https://www.trustpilot.com/review/qonto.com?page=26,30,10-09-2024,0,0,0,0,2021,4,1,,15,1,1,,0,0,"april 01, 2021",ro
bank,Qonto ,azdine doulaki,Perfect and User friendly plateform,User friendly plateformPerfect and Reactive serviceStrongly recommended,"Hello Azdine, thanks a lot for your trust and support! We are glad to count you among our customers. 💜",0.0,,2021-05-11,https://www.trustpilot.com/review/qonto.com?page=25,30,10-09-2024,0,0,0,0,2021,5,11,,71,4,0,,0,0,user friendly plateformperfect and reactive servicestrongly recommended,en
bank,Sumeria ,Iuliia,Good,"Good support, the application has all the features I need",,0.0,,2023-10-16,https://www.trustpilot.com/review/sumeria.eu?page=11,51,10-09-2024,1,0,0,0,2023,10,16,,57,2,1,,0,0,"good support, the application has all the features i need",en
