categorie_bis,companies,noms,titre_com,commentaire,reponses,notes,date_experience,date_commentaire,site,nombre_pages,date_scrap,verified,année_experience,mois_experience,jour_experience,année_commentaire,mois_commentaire,jour_commentaire,leadtime_com_exp,nombre_caractères,nombre_maj,nombre_car_spé,caractères_spé,emojis_positifs_count,emojis_negatifs_count,commentaire_text,langue_bis
bank,Floabank ,K G,Never sent me instructions on how to…,"Never sent me instructions on how to make the monthly payment and suddenly they ask me to pay everything all together or get in trouble. Disgusting company and awful service, no customer support. Stay away from this","Bonjour Dans le but de pouvoir vous répondre, je viens de vous adresser un message privé afin que vous puissiez nous communiquer vos coordonnées. En suivant un agent de notre Service Clients vous contactera.Bien à vous,",,,2024-06-25,https://www.trustpilot.com/review/floabank.fr?page=1,5,10-09-2024,0,,,,2024,6,25,,215,3,3,[],0,0,"never sent me instructions on how to make the monthly payment and suddenly they ask me to pay everything all together or get in trouble. disgusting company and awful service, no customer support. stay away from this",en
bank,SOFINCO ,Seb,Parfait bon relationnel merci,Bon relationnel merci,"Bonjour,Je vous remercie pour votre retour.Je vous souhaite une bonne journée,Adrien",,,2023-03-08,https://www.trustpilot.com/review/sofinco.fr?page=3,4,10-09-2024,0,,,,2023,3,8,,21,1,0,[],0,0,bon relationnel merci,it
bank,Younited Credit ,Isaac,I was lucky to call on competent and…,I was lucky to call on competent and experienced team in Younited credit.They treated my situation with diligence and professionalism. Thanks to the wonderful team.,,,,2018-04-20,https://www.trustpilot.com/review/www.younited-credit.com?page=29,38,10-09-2024,0,,,,2018,4,20,,164,4,3,[],0,0,i was lucky to call on competent and experienced team in younited credit.they treated my situation with diligence and professionalism. thanks to the wonderful team.,en
bank,helios.do ,Math,Trustworthy bank with lot of potential," August 16, 2021",,,,2021-08-16,https://www.trustpilot.com/review/helios.do?page=1,3,10-09-2024,0,,,,2021,8,16,,16,1,1,[],0,0,"august 16, 2021",et
bank,Cofidis ,MRINAL,Super,Excellent super just wow,"Bonjour Mrinal.Je vous remercie pour ce message, ça fait plaisir ! Belle journée. Christine de l'équipe Cofidis.",,,2024-07-09,https://www.trustpilot.com/review/cofidis.fr?page=3,16,10-09-2024,0,,,,2024,7,9,,24,1,0,[],0,0,excellent super just wow,fr
bank,Orange Bank ,Séverine,Correct,Rien à redire simple efficace,"Bonjour Séverine,Merci pour votre avis !C'est un plaisir de vous proposer nos services,A bientôt,Tom.",,,2022-04-19,https://www.trustpilot.com/review/orangebank.fr?page=27,41,10-09-2024,0,,,,2022,4,19,,29,1,0,[],0,0,rien à redire simple efficace,fr
bank,Green-Got ,Olga,an amazing bank,"Love green got. Their team is super sweet, they are easy to reach. I am happy that my money is not funding  climate change, but instead projects to fix it. Also, as green got builds their features they look at what their users ask for and constantly keep them updated. Amazing.","Hi there Olga,Thanks a ton for your lovely feedback! We're thrilled to hear that you love GreenGot and find our team easy to reach.Your support for our climate-fixing projects means the world to us. At GreenGot, we're dedicated to investing in a greener future.It's awesome to know that you appreciate our efforts to keep our features updated based on user feedback. Your satisfaction is our top priority, and we'll keep striving to deliver the best experience possible.Feel free to reach out if you have any more questions or suggestions. We're here for you! 🦊",,,2024-04-29,https://www.trustpilot.com/review/green-got.com?page=1,3,10-09-2024,0,,,,2024,4,29,,277,5,8,[],0,0,"love green got. their team is super sweet, they are easy to reach. i am happy that my money is not funding climate change, but instead projects to fix it. also, as green got builds their features they look at what their users ask for and constantly keep them updated. amazing.",en
bank,01 Banque en Ligne ,Leston,Un contenu simple et ludique qui m’a…,Un contenu simple et ludique qui m’a apporté toutes les réponses à mes questions.,,,,2019-11-20,https://www.trustpilot.com/review/01banque-en-ligne.fr?page=2,3,10-09-2024,0,,,,2019,11,20,,81,1,2,['’'],0,0,un contenu simple et ludique qui m a apporté toutes les réponses à mes questions.,fr
bank,Orange Bank ,ZOUINA DERKOUCHI,Application simple et efficace.," August 26, 2023",Commentaire simple et efficace. Merci à vous Zouina et excellente journée.Lowen,,,2023-08-26,https://www.trustpilot.com/review/orangebank.fr?page=7,41,10-09-2024,0,,,,2023,8,26,,16,1,1,[],0,0,"august 26, 2023",et
bank,Britline ,James,I insured my French house through…,I insured my French house through Credit Agricole Britline for 16 years at a cost of about 400 Euros a year. Then my house had a burglary in 2020. Up to this point I had made no insurance claims. The damage and stolen goods came to 2600 Euros. The company agreed to pay 500 Euros. This was far more upsetting than the actual burglary itself because you feel robbed by the people who you were paying and trusting to protect you. Credit Agricole farm out their insurance side of the business to a company called Pacifica. Avoid both. I hope that reading this review will save some people what I have been through.,,,,2020-11-07,https://www.trustpilot.com/review/britline.com?page=4,5,10-09-2024,0,,,,2020,11,7,,611,20,9,[],0,0,i insured my french house through credit agricole britline for 16 years at a cost of about 400 euros a year. then my house had a burglary in 2020. up to this point i had made no insurance claims. the damage and stolen goods came to 2600 euros. the company agreed to pay 500 euros. this was far more upsetting than the actual burglary itself because you feel robbed by the people who you were paying and trusting to protect you. credit agricole farm out their insurance side of the business to a company called pacifica. avoid both. i hope that reading this review will save some people what i have been through.,en
bank,BoursoBank ,Chun-han L,Bon service,Virement international,"Bonjour Chun-han, Nous vous remercions pour votre commentaire. En effet, nous œuvrons quotidiennement à satisfaire nos clients.Bonne journée, L'équipe BoursoBank",,,2024-08-29,https://www.trustpilot.com/review/boursobank.com?page=4,10,10-09-2024,0,,,,2024,8,29,,22,1,0,[],0,0,virement international,fr
bank,Hello bank! France ,Paul Leyendecker,Simple et efficace," May 24, 2024","Merci Paul, vos 5 étoiles nous motivent à continuer nos efforts pour proposer à nos clients un service de qualité.Si nécessaire, nos conseillers restent disponibles au ☎️ 01 43 63 15 15 (appel gratuit) du 📅 lundi au vendredi de 8h à 20h et le samedi de 8h à 18h mais également via les réseaux sociaux, au besoin, avec une réponse apportée dans l'heure ⌚ :- 💬 Facebook via Messenger : https://m.me/HelloBankFr/- 💬 X ( ex Twitter ) : https://x.com/Hellobank_frExcellente journée à vous et à bientôt chez Hello! 🌞Fatia de la Hello Team.",,,2024-05-24,https://www.trustpilot.com/review/hellobank.fr?page=3,4,10-09-2024,0,,,,2024,5,24,,13,1,1,[],0,0,"may 24, 2024",tl
bank,Younited Credit ,Max,finncement adaptable à nos besoin.,financement adaptable à nos besoin.,"Bonjour Monsieur ,Nous vous remercions d’avoir pris le temps de nous laisser un message et sommes ravis de lire que vous être pleinement satisfait de votre expérience Younited.Excellente journée,Hassan de l'équipe Younited Credit",,,2019-12-04,https://www.trustpilot.com/review/www.younited-credit.com?page=23,38,10-09-2024,1,,,,2019,12,4,,35,0,1,[],0,0,financement adaptable à nos besoin.,fr
bank,Qonto ,David,"Simple, efficace, clair"," March 16, 2021",Merci beaucoup David! Nous sommes ravis de vous compter parmi nous 💜,,,2021-03-16,https://www.trustpilot.com/review/qonto.com?page=26,30,10-09-2024,0,,,,2021,3,16,,15,1,1,[],0,0,"march 16, 2021",cy
bank,Younited Credit ,cliente,Simple et efficace," November 15, 2022","Bonjour,Merci d’avoir pris le temps de nous faire un retour sur votre expérience auprès de Younited, et sommes ravis de lire que celle-ci s’est bien passée.Nous nous efforçons d’offrir à nos clients un crédit aussi juste, simple et rapide que possible et sommes heureux d’avoir pu vous en faire bénéficier.Excellente journée,Amori",,,2022-11-15,https://www.trustpilot.com/review/www.younited-credit.com?page=5,38,10-09-2024,1,,,,2022,11,15,,18,1,1,[],0,0,"november 15, 2022",no
bank,Younited Credit ,GIUGLARIS,Simple rapide efficace," July 03, 2017",,,,2017-07-03,https://www.trustpilot.com/review/www.younited-credit.com?page=35,38,10-09-2024,0,,,,2017,7,3,,14,1,1,[],0,0,"july 03, 2017",fi
bank,BoursoBank ,Ron / France,Great service,"Great service, can't fault them, and they are free (well used to be until I wanted a metal card)","Bonjour Ron, Nous vous remercions pour votre retour positif et sommes heureux d'apporter satisfaction à nos clients.Bonne journée, L'équipe BoursoBank",,,2024-08-19,https://www.trustpilot.com/review/boursobank.com?page=1,10,10-09-2024,0,,,,2024,8,19,,96,2,5,"[""'"", '(', ')']",0,0,"great service, can't fault them, and they are free well used to be until i wanted a metal card",en
bank,Orange Bank ,Fernandez,Au top,Au topService a lecoute,"Bonjour,L'objectif est de vous faire bénéficier de la même qualité d'écoute, de conseil et de suivi, et cela peu importe le conseiller 😉.Nous sommes ravis que vous soyez satisfaits.Bonne journée à vous,Philippe",,,2022-06-23,https://www.trustpilot.com/review/orangebank.fr?page=16,41,10-09-2024,0,,,,2022,6,23,,23,2,0,[],0,0,au topservice a lecoute,fr
bank,Younited Credit ,cliente,Simple et rapide," March 02, 2023","Bonjour,Merci d’avoir pris le temps de nous faire un retour sur votre expérience auprès de Younited, et sommes ravis de lire que celle-ci s’est bien passée.Nous nous efforçons d’offrir à nos clients un crédit aussi juste, simple et rapide que possible et sommes heureux d’avoir pu vous en faire bénéficier.Excellente journée,Audrey",,,2023-03-11,https://www.trustpilot.com/review/www.younited-credit.com?page=5,38,10-09-2024,1,,,,2023,3,11,,15,1,1,[],0,0,"march 02, 2023",cy
